,0,1,2,3,4,5,location,area,classification,salary
1773,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
1774,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
1775,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
1776,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
1777,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience,AucklandAuckland," Auckland CentralAuckland Central,Competitive hourly rate depending on experience",Competitive hourly rate depending on experience,
1778,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
1779,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
1780,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
1781,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
1782,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
1783,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
1784,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
1785,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=920c3de6-41d3-4cb9-893a-c9fff570f03d,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
1786,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=3f0a58b1-481f-46c9-bb00-405f6af5b2ed,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration,"WellingtonWellington,Attractive remuneration",,Attractive remuneration,
1787,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=3f0a58b1-481f-46c9-bb00-405f6af5b2ed,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
1788,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=3f0a58b1-481f-46c9-bb00-405f6af5b2ed,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,
1789,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=3f0a58b1-481f-46c9-bb00-405f6af5b2ed,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
1790,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=3f0a58b1-481f-46c9-bb00-405f6af5b2ed,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate,WellingtonWellington," Wellington CentralWellington Central,Competitive hourly rate",Competitive hourly rate,
1791,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=3f0a58b1-481f-46c9-bb00-405f6af5b2ed,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
1792,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=3f0a58b1-481f-46c9-bb00-405f6af5b2ed,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
1793,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=3f0a58b1-481f-46c9-bb00-405f6af5b2ed,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
1794,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=51e09f02-5396-4cea-ad2a-2bfef2526c86,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,NorthlandNorthland, Rest of NorthlandRest of Northland, Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,
1795,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=51e09f02-5396-4cea-ad2a-2bfef2526c86,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,ManawatuManawatu, Rest of ManawatuRest of Manawatu, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
1796,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=51e09f02-5396-4cea-ad2a-2bfef2526c86,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington, Wellington CentralWellington Central," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
1797,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=51e09f02-5396-4cea-ad2a-2bfef2526c86,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
