,job_name,job_link,post_date,area,location,classification,sub_classification,salary
1305,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=5c9fd21e-aaf9-4d97-a15e-41c670472c8c,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
1306,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=5c9fd21e-aaf9-4d97-a15e-41c670472c8c,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
1307,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=5c9fd21e-aaf9-4d97-a15e-41c670472c8c,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1308,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=5c9fd21e-aaf9-4d97-a15e-41c670472c8c,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1309,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=5c9fd21e-aaf9-4d97-a15e-41c670472c8c,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1310,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=9ed8be0d-eab1-488c-9707-2018aaae9e93,2023-04-21,,Wellington,,,
1311,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=9ed8be0d-eab1-488c-9707-2018aaae9e93,2023-05-03,Hamilton,Waikato,,,
1312,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=9ed8be0d-eab1-488c-9707-2018aaae9e93,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
1313,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=9ed8be0d-eab1-488c-9707-2018aaae9e93,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
1314,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=9ed8be0d-eab1-488c-9707-2018aaae9e93,2023-04-20,Wellington Central,Wellington,,,
1315,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=9ed8be0d-eab1-488c-9707-2018aaae9e93,2023-04-27,Hamilton,Waikato,,,
1316,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=9ed8be0d-eab1-488c-9707-2018aaae9e93,2023-04-19,Hamilton,Waikato,,,
1317,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=9ed8be0d-eab1-488c-9707-2018aaae9e93,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1318,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
1319,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
1320,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1321,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1322,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-05-10,Hamilton,Waikato,,,
1323,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1324,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1325,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
1326,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
1327,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
1328,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
1329,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-19,Auckland Central,Auckland,,,
1330,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
1331,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
1332,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
1333,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
1334,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
1335,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1336,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1337,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=eb774972-23fc-473d-8562-070e6f428c50,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1338,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=ee2342d4-59ef-410c-a499-a48d8a794c9d,2023-04-21,,Wellington,,,
1339,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=ee2342d4-59ef-410c-a499-a48d8a794c9d,2023-05-03,Hamilton,Waikato,,,
1340,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=ee2342d4-59ef-410c-a499-a48d8a794c9d,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
1341,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=ee2342d4-59ef-410c-a499-a48d8a794c9d,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
1342,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=ee2342d4-59ef-410c-a499-a48d8a794c9d,2023-04-20,Wellington Central,Wellington,,,
1343,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=ee2342d4-59ef-410c-a499-a48d8a794c9d,2023-04-27,Hamilton,Waikato,,,
1344,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=ee2342d4-59ef-410c-a499-a48d8a794c9d,2023-04-19,Hamilton,Waikato,,,
1345,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=ee2342d4-59ef-410c-a499-a48d8a794c9d,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1346,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
1347,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
1348,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1349,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1350,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-05-10,Hamilton,Waikato,,,
1351,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1352,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1353,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
1354,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
1355,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
1356,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
1357,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-19,Auckland Central,Auckland,,,
1358,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
1359,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
1360,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
1361,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
1362,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
1363,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1364,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1365,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=c72586f9-0dac-4946-aece-05704e6044c5,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1366,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=da540255-4415-4718-ace1-d5c9d7adf261,2023-04-21,,Wellington,,,
1367,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=da540255-4415-4718-ace1-d5c9d7adf261,2023-05-03,Hamilton,Waikato,,,
1368,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=da540255-4415-4718-ace1-d5c9d7adf261,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
1369,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=da540255-4415-4718-ace1-d5c9d7adf261,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
1370,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=da540255-4415-4718-ace1-d5c9d7adf261,2023-04-20,Wellington Central,Wellington,,,
1371,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=da540255-4415-4718-ace1-d5c9d7adf261,2023-04-27,Hamilton,Waikato,,,
1372,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=da540255-4415-4718-ace1-d5c9d7adf261,2023-04-19,Hamilton,Waikato,,,
1373,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=da540255-4415-4718-ace1-d5c9d7adf261,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1374,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=e34ea19f-110d-43f2-bece-3ef12f2ff488,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
1375,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=e34ea19f-110d-43f2-bece-3ef12f2ff488,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
1376,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=e34ea19f-110d-43f2-bece-3ef12f2ff488,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1377,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=e34ea19f-110d-43f2-bece-3ef12f2ff488,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1378,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=e34ea19f-110d-43f2-bece-3ef12f2ff488,2023-05-10,Hamilton,Waikato,,,
1379,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=e34ea19f-110d-43f2-bece-3ef12f2ff488,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
1380,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=e34ea19f-110d-43f2-bece-3ef12f2ff488,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
1381,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=e34ea19f-110d-43f2-bece-3ef12f2ff488,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
